Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
ACETOPHENONE,-76.43400922,-76.4307361, job_62 ,CC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",3.5504961227132483,-2.602330333194801
CYCLOHEXANONE,-76.43402354,-76.43074937, job_90 ,C1CCC(=O)CC1,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,3.5421690782853674,-2.596227039584111
BENZALDEHYDE,-76.43402977,-76.43075737, job_65 ,C1=CC=C(C=C1)C=O,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,3.537149006289124,-2.5925475860150526
DIETHYLAMINE,-76.43395956,-76.43076937, job_105 ,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",3.529618898290301,-2.5870284056581974
5-NONANONE,-76.43405483,-76.43077368, job_58 ,CCCCC(=O)CCCC,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3",3.5269143344950016,-2.5850461000424994
NITROETHANE,-76.4340404,-76.43078898, job_145 ,CC[N+](=O)[O-],"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",3.517313446794273,-2.5780091450858746
BUTANONITRILE,-76.43406723,-76.43079956, job_75 ,CCCC#N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",3.510674401577837,-2.5731430677397658
4-METHYLPYRIDINE,-76.43410435,-76.43082552, job_57 ,CC1=CC=NC=C1,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",3.4943842679365185,-2.5612032408982692
2-HEPTANONE,-76.43410529,-76.4308266, job_40 ,CCCCCC(=O)C,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",3.4937065582139493,-2.560706514664192
3-METHYLPYRIDINE,-76.43410698,-76.43082761, job_53 ,CC1=CN=CC=C1,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",3.493072774129473,-2.560241983654799
PYRIDINE,-76.43411313,-76.43083594, job_162 ,C1=CC=NC=C1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,3.4878456241594726,-2.5564107526231497
BUTANAL,-76.43411922,-76.43084361, job_72 ,CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",3.48303263012807,-2.5528830765101467
2-METHYLPYRIDINE,-76.43413479,-76.43085208, job_46 ,CC1=CC=CC=N1,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",3.477717628899718,-2.5489874550421985
DIBROMOMETHANE,-76.43404277,-76.43086754, job_97 ,C(Br)Br,InChI=1S/CH2Br2/c2-1-3/h1H2,3.468016339759599,-2.541876911014585
"2,4-DIMETHYLPYRIDINE",-76.43416971,-76.43088575, job_35 ,CC1=CC(=NC=C1)C,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",3.4565894008649196,-2.533501554818318
4-HEPTANONE,-76.43418158,-76.43090437, job_55 ,CCCC(=O)CCC,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",3.4449051832901643,-2.5249376266337697
2-HEXANONE,-76.43422654,-76.4309523, job_41 ,CCCCC(=O)C,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",3.4148286769151297,-2.502893100417961
4-METHYL-2-PENTANONE,-76.43426082,-76.43098513, job_56 ,CC(C)CC(=O)C,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",3.394227556448275,-2.4877935428249427
PROPANAL,-76.43430924,-76.43103988, job_157 ,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",3.3598714386958415,-2.462612282441071
3-PENTANONE,-76.43432278,-76.43105191, job_54 ,CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",3.3523225054299193,-2.4570793041354473
PROPANONITRILE,-76.43430897,-76.43105965, job_159 ,CCC#N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",3.3474655857693407,-2.453519432804295
