Solvent Name,SMILES,Inchi,deltaG_bdo,deltaG_wat
TETRALIN,C1CCC2=CC=CC=C2C1,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",3.2797385394091076,5.051974557557285
XYLENE,CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",3.2653685833239865,5.1938543424522035
ETHYLBENZENE,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",3.236001162119659,5.175261250782063
O-XYLENE,CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",3.175697547214964,5.108337415936949
TOLUENE,CC1=CC=CC=C1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",3.1183432245956886,5.166294147174727
BENZENE,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,3.05998488760035,5.188018508759804
PROPANOIC ACID,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",2.9099474857081926,3.681407050299096
DIBUTYLETHER,CCCCOCCCC,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",2.8453140587286976,4.592506192670204
1-HEXYNE,CCCCC#C,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",2.8301910918169417,4.598806383025356
TRIETHYLAMINE,CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",2.6611401671943153,4.452477559313478
ANISOLE,COC1=CC=CC=C1,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",2.513550050417381,4.434122921065232
ETHYL PHENYL ETHER,CCOC1=CC=CC=C1,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",2.389742524701803,4.370920214590353
DIPROPYLAMINE,CCCNCCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",2.3078526001945368,3.9389367438945184
DIISOPROPYL ETHER,CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",2.1239297123165923,4.309229804792382
METHYL BENZOATE,COC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",2.083329880019222,3.961884748028289
PENTYL ETHANOATE,CCCCCOC(=O)C,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",2.0690226748125404,4.092940002673784
BUTYL ETHANOATE,CCCCOC(=O)C,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",2.0109153414023004,4.043159713709261
METHYL BUTANOATE,CCCC(=O)OC,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",1.8810209784092242,3.9524219123100655
